,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3576,0.5028,0.5980,0.0864,0.3050,0.1944,0.3738,0.5094,0.6114,0.1908,0.4550,0.4314
DecisionTreeRegressor,0.3568,0.5041,0.5973,0.0884,0.3480,0.2756,0.3908,0.5163,0.6252,0.1538,0.3952,0.3575
RandomForestRegressor,0.3484,0.4938,0.5902,0.1099,0.3515,0.2650,0.3818,0.5088,0.6179,0.1735,0.4179,0.3688
GradientBoostingRegressor,0.3479,0.4961,0.5898,0.1112,0.3579,0.2773,0.3972,0.5179,0.6302,0.1401,0.3778,0.3306
AdaBoostRegressor,0.3366,0.4848,0.5802,0.1399,0.3853,0.2960,0.3914,0.5100,0.6256,0.1526,0.3946,0.3193
XGBRegressor,0.3498,0.4962,0.5914,0.1063,0.3512,0.2762,0.3918,0.5173,0.6259,0.1518,0.3917,0.3575
ExtraTreesRegressor,0.3506,0.4966,0.5921,0.1042,0.3532,0.2750,0.3924,0.5174,0.6264,0.1505,0.3914,0.3575
LinearRegression,0.3548,0.4984,0.5957,0.0934,0.3402,0.2639,0.3684,0.5000,0.6069,0.2025,0.4531,0.4311
KNeighborsRegressor,0.6240,0.6451,0.7899,-0.5943,0.2314,0.2634,0.5794,0.5951,0.7612,-0.2545,0.4034,0.3544
SVR,0.3761,0.5091,0.6133,0.0390,0.2562,0.2296,0.3940,0.5210,0.6277,0.1470,0.3871,0.3598
MLPRegressor,0.6573,0.6689,0.8107,-0.6793,0.1287,0.1146,0.6099,0.6436,0.7810,-0.3205,0.1347,0.1436
