,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2281,0.3883,0.4776,0.4172,0.6502,0.6647,0.2609,0.3911,0.5108,0.4351,0.6762,0.6243
DecisionTreeRegressor,0.3531,0.4311,0.5942,0.0979,0.5240,0.5496,0.2218,0.3298,0.4710,0.5197,0.7228,0.6740
RandomForestRegressor,0.2277,0.3608,0.4772,0.4183,0.6490,0.6741,0.2179,0.3367,0.4668,0.5282,0.7411,0.6957
GradientBoostingRegressor,0.2093,0.3346,0.4575,0.4651,0.6845,0.7224,0.2033,0.3101,0.4509,0.5598,0.7528,0.6935
AdaBoostRegressor,0.2531,0.4015,0.5031,0.3533,0.5999,0.6340,0.2570,0.4052,0.5070,0.4435,0.7127,0.6681
XGBRegressor,0.2708,0.3859,0.5204,0.3080,0.5931,0.6300,0.1849,0.3079,0.4301,0.5996,0.7764,0.7243
ExtraTreesRegressor,0.2164,0.3436,0.4652,0.4471,0.6776,0.7008,0.1905,0.3184,0.4365,0.5875,0.7725,0.6999
LinearRegression,0.4337,0.4832,0.6586,-0.1081,0.4609,0.4828,0.2999,0.4007,0.5476,0.3507,0.6248,0.5193
KNeighborsRegressor,0.2804,0.4067,0.5295,0.2835,0.6004,0.5995,0.3533,0.4037,0.5944,0.2352,0.5479,0.4852
SVR,0.2347,0.3694,0.4844,0.4004,0.6359,0.6402,0.2317,0.3386,0.4813,0.4984,0.7084,0.6697
MLPRegressor,1.3107,0.9091,1.1449,-2.3489,0.1351,0.1302,0.7985,0.6981,0.8936,-0.7287,0.3173,0.2407
