,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3942,0.5207,0.6279,-0.0072,0.1037,0.0369,0.4039,0.5566,0.6355,0.1256,0.4172,0.4099
DecisionTreeRegressor,0.3714,0.5193,0.6095,0.0510,0.2968,0.1778,0.3501,0.4929,0.5917,0.2421,0.5343,0.4554
RandomForestRegressor,0.3752,0.5197,0.6125,0.0414,0.2576,0.1832,0.3544,0.5037,0.5953,0.2327,0.5401,0.4629
GradientBoostingRegressor,0.3613,0.5046,0.6011,0.0768,0.3131,0.2055,0.3498,0.4981,0.5915,0.2426,0.5510,0.4688
AdaBoostRegressor,0.3755,0.5094,0.6128,0.0407,0.2655,0.1839,0.3529,0.4995,0.5941,0.2359,0.5376,0.5006
XGBRegressor,0.3718,0.5163,0.6098,0.0500,0.2907,0.1803,0.3503,0.4937,0.5918,0.2417,0.5353,0.4554
ExtraTreesRegressor,0.3683,0.5145,0.6069,0.0589,0.2993,0.1772,0.3501,0.4929,0.5917,0.2421,0.5343,0.4554
LinearRegression,0.3941,0.5284,0.6278,-0.0070,0.2312,0.1658,0.3719,0.5228,0.6099,0.1948,0.4962,0.4231
KNeighborsRegressor,0.9583,0.8176,0.9789,-1.4486,0.0050,-0.0126,0.7705,0.6830,0.8778,-0.6682,0.3989,0.3621
SVR,0.4058,0.5233,0.6370,-0.0368,0.1546,0.1574,0.3957,0.5387,0.6290,0.1433,0.4159,0.3704
MLPRegressor,0.5383,0.5964,0.7337,-0.3753,0.1177,0.0996,0.3727,0.5165,0.6105,0.1930,0.4400,0.4788
