,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2988,0.4553,0.5467,0.2365,0.4931,0.4878,0.2700,0.4119,0.5196,0.4155,0.6574,0.5603
DecisionTreeRegressor,0.3583,0.4563,0.5986,0.0846,0.4816,0.4970,0.3414,0.4211,0.5843,0.2610,0.5253,0.4753
RandomForestRegressor,0.2961,0.4277,0.5441,0.2435,0.5198,0.5248,0.2895,0.3935,0.5381,0.3731,0.6117,0.5835
GradientBoostingRegressor,0.3006,0.4305,0.5483,0.2319,0.5304,0.5434,0.2852,0.3908,0.5340,0.3826,0.6239,0.5691
AdaBoostRegressor,0.2987,0.4576,0.5465,0.2368,0.4912,0.4525,0.2995,0.4224,0.5472,0.3517,0.6056,0.5282
XGBRegressor,0.3283,0.4382,0.5730,0.1612,0.4956,0.5059,0.3229,0.4069,0.5682,0.3010,0.5539,0.5023
ExtraTreesRegressor,0.3353,0.4404,0.5790,0.1433,0.5039,0.5053,0.3371,0.4102,0.5806,0.2701,0.5342,0.5000
LinearRegression,0.5338,0.5625,0.7306,-0.3638,0.3471,0.3872,0.3174,0.4484,0.5634,0.3127,0.5820,0.5692
KNeighborsRegressor,0.3242,0.4381,0.5694,0.1716,0.5065,0.4888,0.2873,0.3795,0.5360,0.3779,0.6192,0.5462
SVR,0.3292,0.4618,0.5737,0.1590,0.4130,0.4271,0.3626,0.4812,0.6021,0.2151,0.4672,0.3542
MLPRegressor,1.1065,0.8319,1.0519,-1.8272,0.0614,0.0749,0.6144,0.6516,0.7839,-0.3303,0.3652,0.2860
