,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3158,0.4676,0.5619,0.1932,0.4526,0.4293,0.2961,0.4331,0.5441,0.3590,0.6100,0.5163
DecisionTreeRegressor,0.3678,0.4768,0.6065,0.0602,0.4529,0.4773,0.3233,0.4037,0.5686,0.3000,0.5651,0.5297
RandomForestRegressor,0.3286,0.4551,0.5733,0.1603,0.4601,0.4904,0.2954,0.4059,0.5435,0.3604,0.6011,0.5403
GradientBoostingRegressor,0.3399,0.4709,0.5830,0.1317,0.4510,0.4636,0.2599,0.3800,0.5098,0.4374,0.6662,0.5880
AdaBoostRegressor,0.3073,0.4648,0.5544,0.2147,0.4672,0.4458,0.3129,0.4314,0.5594,0.3225,0.5756,0.5647
XGBRegressor,0.3711,0.4775,0.6092,0.0518,0.4178,0.4609,0.3134,0.4154,0.5598,0.3215,0.5711,0.5021
ExtraTreesRegressor,0.3540,0.4671,0.5950,0.0955,0.4634,0.4854,0.3282,0.4094,0.5729,0.2894,0.5544,0.5218
LinearRegression,0.5332,0.5795,0.7302,-0.3624,0.2896,0.3019,0.3090,0.4220,0.5559,0.3310,0.5796,0.5188
KNeighborsRegressor,0.3273,0.4369,0.5721,0.1638,0.4976,0.4851,0.3249,0.4087,0.5700,0.2967,0.5580,0.4758
SVR,0.3339,0.4641,0.5778,0.1469,0.3992,0.4319,0.3671,0.4843,0.6059,0.2052,0.4554,0.3374
MLPRegressor,1.0760,0.8196,1.0373,-1.7491,0.0305,0.0442,0.6784,0.6984,0.8236,-0.4687,0.3676,0.3087
