,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3383,0.4801,0.5817,0.1355,0.3797,0.3646,0.3412,0.4852,0.5841,0.2613,0.5316,0.4069
DecisionTreeRegressor,0.3430,0.4810,0.5856,0.1237,0.4088,0.4190,0.3330,0.4505,0.5771,0.2790,0.5301,0.4562
RandomForestRegressor,0.3282,0.4699,0.5729,0.1614,0.4247,0.4372,0.3288,0.4638,0.5734,0.2882,0.5474,0.4473
GradientBoostingRegressor,0.3298,0.4737,0.5743,0.1573,0.4266,0.4219,0.3268,0.4562,0.5717,0.2924,0.5473,0.4316
AdaBoostRegressor,0.3570,0.4947,0.5975,0.0878,0.3395,0.3417,0.3520,0.4821,0.5933,0.2378,0.5066,0.4036
XGBRegressor,0.3414,0.4822,0.5843,0.1276,0.4126,0.4219,0.3503,0.4705,0.5918,0.2417,0.4919,0.4002
ExtraTreesRegressor,0.3488,0.4865,0.5906,0.1088,0.3920,0.4055,0.3169,0.4554,0.5629,0.3139,0.5705,0.4774
LinearRegression,0.3786,0.5120,0.6153,0.0327,0.3583,0.3731,0.3060,0.4322,0.5532,0.3375,0.5864,0.4843
KNeighborsRegressor,0.5436,0.5887,0.7373,-0.3888,0.2415,0.2503,0.3732,0.4629,0.6109,0.1921,0.5875,0.5252
SVR,0.3412,0.4684,0.5841,0.1283,0.3701,0.4436,0.3656,0.5067,0.6047,0.2084,0.4641,0.3691
MLPRegressor,1.0508,0.8168,1.0251,-1.6849,0.0502,0.0541,0.7288,0.7203,0.8537,-0.5779,0.3915,0.3641
