,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1928,0.3552,0.4391,0.5074,0.7142,0.6984,0.2165,0.3485,0.4653,0.5312,0.7460,0.6939
DecisionTreeRegressor,0.2303,0.3537,0.4799,0.4116,0.6971,0.7079,0.2912,0.3802,0.5396,0.3696,0.6251,0.5506
RandomForestRegressor,0.1873,0.3349,0.4327,0.5216,0.7278,0.7366,0.2223,0.3455,0.4714,0.5188,0.7352,0.7048
GradientBoostingRegressor,0.1913,0.3341,0.4374,0.5112,0.7166,0.7331,0.2225,0.3597,0.4717,0.5183,0.7269,0.6772
AdaBoostRegressor,0.2118,0.3749,0.4602,0.4589,0.6906,0.7001,0.2465,0.3900,0.4965,0.4664,0.7318,0.6881
XGBRegressor,0.1956,0.3372,0.4423,0.5002,0.7192,0.7274,0.2147,0.3365,0.4634,0.5351,0.7370,0.6925
ExtraTreesRegressor,0.1891,0.3263,0.4349,0.5168,0.7255,0.7228,0.1989,0.3336,0.4460,0.5693,0.7598,0.6995
LinearRegression,0.6907,0.5906,0.8311,-0.7647,0.3467,0.4408,0.4588,0.4982,0.6773,0.0067,0.4734,0.4648
KNeighborsRegressor,0.2855,0.3850,0.5343,0.2705,0.6020,0.6087,0.3288,0.3693,0.5734,0.2881,0.5833,0.5234
SVR,0.2057,0.3444,0.4536,0.4743,0.6908,0.7166,0.2511,0.3649,0.5011,0.4564,0.6776,0.6175
MLPRegressor,0.8296,0.6379,0.9108,-1.1196,0.3246,0.3536,0.5884,0.5545,0.7671,-0.2739,0.5658,0.5413
