,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2630,0.4201,0.5128,0.3281,0.5735,0.5542,0.2578,0.3961,0.5078,0.4418,0.6794,0.5388
DecisionTreeRegressor,0.3361,0.4292,0.5798,0.1412,0.5259,0.5459,0.1644,0.3099,0.4055,0.6440,0.8057,0.7818
RandomForestRegressor,0.2676,0.3943,0.5173,0.3162,0.5756,0.5906,0.1998,0.3427,0.4469,0.5675,0.7644,0.6947
GradientBoostingRegressor,0.2984,0.4176,0.5463,0.2375,0.5177,0.5731,0.1715,0.3132,0.4142,0.6286,0.8129,0.7710
AdaBoostRegressor,0.3291,0.4741,0.5737,0.1590,0.4141,0.4572,0.2632,0.4248,0.5130,0.4302,0.7219,0.7047
XGBRegressor,0.2970,0.3921,0.5449,0.2413,0.5503,0.5733,0.1596,0.3173,0.3995,0.6545,0.8134,0.8095
ExtraTreesRegressor,0.3277,0.4195,0.5724,0.1628,0.5273,0.5405,0.1629,0.3127,0.4036,0.6473,0.8082,0.7914
LinearRegression,0.7066,0.6192,0.8406,-0.8054,0.1469,0.2503,0.2329,0.3806,0.4826,0.4957,0.7131,0.6784
KNeighborsRegressor,0.2981,0.4047,0.5460,0.2383,0.5601,0.5646,0.3144,0.3926,0.5607,0.3194,0.5909,0.5555
SVR,0.2770,0.4087,0.5263,0.2922,0.5491,0.5742,0.2623,0.3887,0.5122,0.4320,0.6601,0.5494
MLPRegressor,0.9282,0.6801,0.9634,-1.3715,0.1830,0.2653,0.4756,0.4770,0.6896,-0.0296,0.5040,0.4405
