,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2667,0.4167,0.5164,0.3186,0.5653,0.5702,0.2746,0.4187,0.5240,0.4054,0.6559,0.5325
DecisionTreeRegressor,0.2536,0.3736,0.5035,0.3522,0.6319,0.6182,0.2902,0.4147,0.5387,0.3716,0.6315,0.6188
RandomForestRegressor,0.2374,0.3676,0.4872,0.3935,0.6389,0.6445,0.2557,0.3670,0.5057,0.4464,0.6694,0.6501
GradientBoostingRegressor,0.2279,0.3603,0.4774,0.4177,0.6519,0.6698,0.2492,0.3646,0.4992,0.4605,0.6798,0.6525
AdaBoostRegressor,0.2628,0.4241,0.5126,0.3286,0.5804,0.5922,0.2643,0.4106,0.5141,0.4279,0.6802,0.6494
XGBRegressor,0.2511,0.3755,0.5011,0.3584,0.6363,0.6243,0.2779,0.4033,0.5272,0.3983,0.6461,0.6425
ExtraTreesRegressor,0.2461,0.3672,0.4961,0.3711,0.6423,0.6271,0.2981,0.4118,0.5460,0.3546,0.6176,0.6145
LinearRegression,0.3650,0.4876,0.6041,0.0675,0.5068,0.5089,0.3858,0.4711,0.6212,0.1647,0.5152,0.4812
KNeighborsRegressor,0.2663,0.3834,0.5161,0.3196,0.5979,0.5742,0.2720,0.3961,0.5216,0.4111,0.6506,0.6409
SVR,0.2778,0.4123,0.5271,0.2902,0.5483,0.5611,0.2567,0.4064,0.5067,0.4442,0.6818,0.6252
MLPRegressor,0.6085,0.5613,0.7801,-0.5548,0.2931,0.3522,0.4241,0.5080,0.6512,0.0819,0.5063,0.4753
