,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3098,0.4637,0.5566,0.2086,0.4571,0.4499,0.2875,0.4327,0.5362,0.3776,0.6723,0.6577
DecisionTreeRegressor,0.3921,0.4804,0.6262,-0.0019,0.4484,0.4763,0.2489,0.3896,0.4989,0.4612,0.7016,0.6739
RandomForestRegressor,0.2480,0.3838,0.4980,0.3664,0.6081,0.6227,0.2062,0.3482,0.4541,0.5536,0.7636,0.6821
GradientBoostingRegressor,0.2468,0.3716,0.4968,0.3694,0.6205,0.6624,0.2047,0.3485,0.4524,0.5568,0.7579,0.6730
AdaBoostRegressor,0.2920,0.4497,0.5403,0.2540,0.5173,0.5344,0.2714,0.4235,0.5210,0.4124,0.7391,0.6445
XGBRegressor,0.2733,0.3775,0.5227,0.3018,0.5984,0.6103,0.1818,0.3302,0.4263,0.6065,0.7838,0.7375
ExtraTreesRegressor,0.3703,0.4676,0.6085,0.0538,0.4601,0.4853,0.2425,0.3795,0.4925,0.4749,0.7099,0.6743
LinearRegression,0.7457,0.6404,0.8635,-0.9052,0.4100,0.4314,0.2839,0.3978,0.5328,0.3853,0.6974,0.6744
KNeighborsRegressor,0.2616,0.3898,0.5115,0.3317,0.6015,0.6184,0.3138,0.4205,0.5602,0.3206,0.5866,0.5408
SVR,0.2562,0.3921,0.5062,0.3453,0.5912,0.6100,0.2363,0.3467,0.4861,0.4885,0.7022,0.6468
MLPRegressor,1.2575,0.8662,1.1214,-2.2128,0.2022,0.1776,0.7967,0.6435,0.8926,-0.7249,0.3484,0.2938
