,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2854,0.4491,0.5342,0.2708,0.5210,0.4884,0.3246,0.4477,0.5698,0.2971,0.5460,0.5490
DecisionTreeRegressor,0.3110,0.4443,0.5577,0.2053,0.5412,0.5173,0.3998,0.4943,0.6323,0.1344,0.4444,0.3726
RandomForestRegressor,0.2815,0.4237,0.5306,0.2807,0.5518,0.5500,0.3410,0.4576,0.5840,0.2616,0.5266,0.5118
GradientBoostingRegressor,0.2707,0.4196,0.5202,0.3085,0.5671,0.5649,0.3836,0.4888,0.6194,0.1694,0.4493,0.3931
AdaBoostRegressor,0.2878,0.4514,0.5365,0.2647,0.5147,0.4965,0.3213,0.4435,0.5668,0.3043,0.5529,0.5364
XGBRegressor,0.2850,0.4226,0.5338,0.2719,0.5731,0.5462,0.3830,0.4850,0.6189,0.1708,0.4701,0.4241
ExtraTreesRegressor,0.3053,0.4403,0.5526,0.2199,0.5467,0.5252,0.3923,0.4908,0.6264,0.1506,0.4555,0.3968
LinearRegression,0.3652,0.4947,0.6044,0.0668,0.4558,0.4313,0.4013,0.4976,0.6335,0.1312,0.4624,0.3900
KNeighborsRegressor,0.3641,0.4744,0.6034,0.0697,0.4495,0.4055,0.3244,0.4503,0.5696,0.2977,0.5623,0.5347
SVR,0.3172,0.4518,0.5632,0.1896,0.4660,0.4351,0.3618,0.4892,0.6015,0.2167,0.4713,0.3756
MLPRegressor,0.7000,0.6294,0.8367,-0.7886,0.1738,0.2599,0.3822,0.4812,0.6183,0.1724,0.4775,0.4392
