,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2519,0.4179,0.5019,0.3564,0.5980,0.5895,0.2610,0.4002,0.5109,0.4350,0.6701,0.6389
DecisionTreeRegressor,0.2679,0.4049,0.5176,0.3155,0.6388,0.6417,0.2044,0.3314,0.4521,0.5574,0.7473,0.6883
RandomForestRegressor,0.1881,0.3468,0.4336,0.5195,0.7220,0.7178,0.2213,0.3659,0.4704,0.5209,0.7338,0.6915
GradientBoostingRegressor,0.1932,0.3610,0.4396,0.5063,0.7131,0.7113,0.2186,0.3534,0.4676,0.5266,0.7272,0.6699
AdaBoostRegressor,0.2372,0.4185,0.4871,0.3939,0.6325,0.6307,0.2302,0.3914,0.4798,0.5016,0.7371,0.6960
XGBRegressor,0.2197,0.3667,0.4687,0.4386,0.6890,0.6801,0.2094,0.3584,0.4576,0.5466,0.7417,0.7265
ExtraTreesRegressor,0.1910,0.3366,0.4370,0.5120,0.7245,0.7160,0.2192,0.3683,0.4682,0.5254,0.7296,0.6841
LinearRegression,0.2802,0.4206,0.5293,0.2842,0.5843,0.6112,0.2310,0.3561,0.4806,0.4999,0.7265,0.7166
KNeighborsRegressor,0.2816,0.4119,0.5307,0.2805,0.5945,0.5755,0.2835,0.3741,0.5324,0.3862,0.6314,0.5662
SVR,0.2897,0.4297,0.5383,0.2598,0.5193,0.5305,0.2867,0.4113,0.5354,0.3793,0.6211,0.5371
MLPRegressor,0.8260,0.6551,0.9088,-1.1104,0.2057,0.2921,0.7235,0.6255,0.8506,-0.5665,0.3987,0.3189
