,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3753,0.5195,0.6126,0.0410,0.2252,0.1510,0.3730,0.5228,0.6108,0.1924,0.4693,0.4044
DecisionTreeRegressor,0.3586,0.5004,0.5988,0.0839,0.3357,0.3175,0.3301,0.4634,0.5745,0.2854,0.5362,0.4906
RandomForestRegressor,0.3599,0.5026,0.5999,0.0806,0.3198,0.2992,0.3247,0.4596,0.5699,0.2969,0.5490,0.5140
GradientBoostingRegressor,0.3520,0.4980,0.5933,0.1005,0.3414,0.3211,0.3295,0.4634,0.5740,0.2867,0.5401,0.5088
AdaBoostRegressor,0.3645,0.5091,0.6037,0.0687,0.2766,0.2087,0.3417,0.4793,0.5846,0.2601,0.5352,0.5473
XGBRegressor,0.3616,0.5044,0.6014,0.0760,0.3291,0.3178,0.3252,0.4604,0.5703,0.2959,0.5476,0.5002
ExtraTreesRegressor,0.3571,0.4987,0.5976,0.0877,0.3378,0.3175,0.3339,0.4666,0.5778,0.2771,0.5280,0.4664
LinearRegression,0.3839,0.5246,0.6196,0.0190,0.2901,0.2570,0.3305,0.4695,0.5749,0.2844,0.5396,0.5099
KNeighborsRegressor,0.7005,0.6530,0.8369,-0.7897,-0.1404,-0.0951,0.5544,0.5830,0.7446,-0.2003,0.1830,0.2453
SVR,0.3760,0.4993,0.6132,0.0394,0.2703,0.3158,0.3650,0.5057,0.6042,0.2097,0.4630,0.4100
MLPRegressor,0.7836,0.6743,0.8852,-1.0020,-0.0129,0.0186,0.5534,0.5561,0.7439,-0.1981,0.2158,0.2538
