,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.3299,0.4536,0.5744,0.1570,0.4581,0.4613,0.2791,0.4410,0.5283,0.3958,0.6410,0.6462
LGBMRegressor,0.3469,0.4957,0.5890,0.1136,0.3417,0.3193,0.3476,0.4865,0.5896,0.2475,0.5422,0.5717
XGBRegressor,0.3635,0.4628,0.6029,0.0712,0.4026,0.4223,0.2915,0.4483,0.5399,0.3688,0.6160,0.6260
DecisionTreeRegressor,0.4014,0.4924,0.6335,-0.0255,0.3768,0.3955,0.2761,0.4370,0.5255,0.4022,0.6502,0.6329
RandomForestRegressor,0.3224,0.4477,0.5678,0.1763,0.4443,0.4558,0.2774,0.4304,0.5267,0.3993,0.6481,0.6729
GradientBoostingRegressor,0.3111,0.4485,0.5578,0.2051,0.4854,0.4814,0.3173,0.4622,0.5633,0.3131,0.5820,0.6202
AdaBoostRegressor,0.3480,0.4795,0.5899,0.1108,0.3426,0.3490,0.3438,0.4917,0.5864,0.2556,0.5439,0.6192
SVR,0.3446,0.4704,0.5870,0.1196,0.3997,0.4059,0.2878,0.4495,0.5365,0.3769,0.6330,0.6290
LinearRegression,0.4157,0.5151,0.6447,-0.0620,0.1505,0.2514,0.4376,0.5517,0.6615,0.0526,0.2779,0.4426
KNeighborsRegressor,0.4007,0.5041,0.6330,-0.0239,0.3006,0.2906,0.3420,0.4667,0.5848,0.2595,0.5233,0.5379
MLPRegressor,1.4468,0.9307,1.2028,-2.6965,0.0126,0.0480,1.7455,0.9840,1.3212,-2.7790,0.1475,0.1268
