,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.3330,0.4591,0.5770,0.1493,0.4599,0.4767,0.2879,0.4317,0.5365,0.3767,0.6150,0.5729
LGBMRegressor,0.2984,0.4561,0.5462,0.2376,0.4882,0.4777,0.2981,0.4377,0.5460,0.3547,0.6014,0.6200
XGBRegressor,0.3139,0.4420,0.5602,0.1981,0.5110,0.4848,0.2905,0.4357,0.5389,0.3711,0.6152,0.6038
DecisionTreeRegressor,0.3302,0.4575,0.5746,0.1563,0.5190,0.4765,0.2903,0.4320,0.5388,0.3714,0.6313,0.6236
RandomForestRegressor,0.2971,0.4388,0.5450,0.2410,0.5035,0.5207,0.2800,0.4176,0.5291,0.3938,0.6307,0.5979
GradientBoostingRegressor,0.2977,0.4356,0.5456,0.2394,0.5154,0.5241,0.3072,0.4397,0.5543,0.3349,0.5862,0.5570
AdaBoostRegressor,0.3154,0.4609,0.5616,0.1940,0.4452,0.4239,0.3125,0.4502,0.5590,0.3234,0.5794,0.6080
SVR,0.3301,0.4475,0.5746,0.1565,0.4442,0.4562,0.2927,0.4542,0.5410,0.3664,0.6198,0.5910
LinearRegression,0.3526,0.4739,0.5938,0.0990,0.3726,0.4329,0.2988,0.4366,0.5466,0.3531,0.5988,0.5951
KNeighborsRegressor,0.4150,0.5030,0.6442,-0.0603,0.2970,0.3203,0.3412,0.4524,0.5841,0.2614,0.5171,0.4730
MLPRegressor,1.0688,0.8045,1.0338,-1.7308,0.1613,0.1815,1.3968,0.8767,1.1819,-2.0242,0.2082,0.2054
