,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.3354,0.4618,0.5791,0.1431,0.4566,0.4704,0.2908,0.4320,0.5393,0.3703,0.6100,0.5603
LGBMRegressor,0.2984,0.4561,0.5462,0.2376,0.4882,0.4777,0.2981,0.4377,0.5460,0.3547,0.6014,0.6200
XGBRegressor,0.3139,0.4420,0.5602,0.1981,0.5110,0.4848,0.2905,0.4357,0.5389,0.3711,0.6152,0.6038
DecisionTreeRegressor,0.3274,0.4567,0.5722,0.1634,0.5176,0.4696,0.2671,0.4167,0.5169,0.4216,0.6625,0.6473
RandomForestRegressor,0.2970,0.4386,0.5449,0.2413,0.5041,0.5207,0.2776,0.4150,0.5268,0.3991,0.6350,0.6024
GradientBoostingRegressor,0.2949,0.4335,0.5430,0.2466,0.5210,0.5311,0.3082,0.4410,0.5552,0.3326,0.5847,0.5623
AdaBoostRegressor,0.3035,0.4514,0.5509,0.2246,0.4766,0.4800,0.3046,0.4444,0.5519,0.3406,0.6017,0.6103
SVR,0.3301,0.4475,0.5746,0.1565,0.4442,0.4555,0.2926,0.4541,0.5409,0.3666,0.6200,0.5910
LinearRegression,0.3526,0.4739,0.5938,0.0990,0.3726,0.4329,0.2988,0.4366,0.5466,0.3531,0.5988,0.5951
KNeighborsRegressor,0.4093,0.5002,0.6397,-0.0457,0.2999,0.3130,0.3391,0.4587,0.5823,0.2659,0.5177,0.4813
MLPRegressor,1.1112,0.8396,1.0541,-1.8390,0.1780,0.2000,1.6136,0.9821,1.2703,-2.4936,0.2200,0.2093
