,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.3683,0.4727,0.6069,0.0589,0.4295,0.4381,0.3190,0.4692,0.5648,0.3093,0.5964,0.5509
LGBMRegressor,0.3110,0.4513,0.5577,0.2053,0.4548,0.4147,0.2800,0.4360,0.5291,0.3939,0.6574,0.6427
XGBRegressor,0.3899,0.4810,0.6244,0.0037,0.4107,0.4184,0.4068,0.5333,0.6378,0.1194,0.4287,0.3967
DecisionTreeRegressor,0.4808,0.5184,0.6934,-0.2285,0.3286,0.3675,0.3472,0.5077,0.5892,0.2484,0.5750,0.5288
RandomForestRegressor,0.3254,0.4483,0.5704,0.1686,0.4642,0.4545,0.2996,0.4492,0.5474,0.3513,0.6194,0.5790
GradientBoostingRegressor,0.3120,0.4394,0.5585,0.2029,0.4984,0.5046,0.3137,0.4641,0.5601,0.3209,0.5848,0.5156
AdaBoostRegressor,0.2980,0.4405,0.5458,0.2387,0.4904,0.4809,0.2916,0.4438,0.5400,0.3687,0.6541,0.6724
SVR,0.3400,0.4677,0.5831,0.1313,0.4113,0.4094,0.3340,0.4563,0.5779,0.2769,0.5503,0.4865
LinearRegression,0.3632,0.4996,0.6026,0.0721,0.3461,0.3332,0.3207,0.4639,0.5663,0.3056,0.5682,0.5387
KNeighborsRegressor,0.3398,0.4670,0.5829,0.1319,0.4335,0.4188,0.3032,0.4599,0.5506,0.3436,0.6691,0.6695
MLPRegressor,1.4112,0.9419,1.1879,-2.6055,0.1481,0.1751,1.4401,0.9636,1.2000,-2.1178,0.1053,0.1206
