,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.2996,0.4203,0.5474,0.2345,0.5621,0.5811,0.2284,0.3416,0.4779,0.5055,0.7111,0.6268
LGBMRegressor,0.3071,0.4470,0.5542,0.2153,0.4656,0.4493,0.2842,0.4346,0.5331,0.3848,0.6450,0.5956
XGBRegressor,0.2517,0.3715,0.5017,0.3569,0.6355,0.6461,0.2207,0.3296,0.4698,0.5222,0.7255,0.6241
DecisionTreeRegressor,0.3545,0.4380,0.5954,0.0943,0.5242,0.5373,0.1851,0.2895,0.4302,0.5993,0.7755,0.6878
RandomForestRegressor,0.2458,0.3815,0.4958,0.3719,0.6115,0.6298,0.2265,0.3512,0.4759,0.5096,0.7234,0.6463
GradientBoostingRegressor,0.2717,0.3892,0.5212,0.3058,0.5633,0.6000,0.2114,0.3469,0.4598,0.5422,0.7485,0.6570
AdaBoostRegressor,0.3000,0.4491,0.5477,0.2335,0.4954,0.4731,0.2775,0.4385,0.5268,0.3992,0.7035,0.6672
SVR,0.2799,0.4183,0.5291,0.2847,0.5366,0.5157,0.2361,0.3515,0.4859,0.4888,0.7020,0.6695
LinearRegression,0.4740,0.5067,0.6885,-0.2110,0.4154,0.3821,0.3116,0.4142,0.5582,0.3253,0.6435,0.6217
KNeighborsRegressor,0.2493,0.3795,0.4993,0.3629,0.6264,0.6152,0.3240,0.4229,0.5692,0.2985,0.5604,0.4995
MLPRegressor,1.1983,0.8383,1.0947,-2.0617,0.2605,0.2615,0.6644,0.6451,0.8151,-0.4384,0.5185,0.4331
