,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.2991,0.4210,0.5469,0.2358,0.5629,0.5860,0.2300,0.3438,0.4796,0.5020,0.7086,0.6285
LGBMRegressor,0.3071,0.4470,0.5542,0.2153,0.4656,0.4493,0.2842,0.4346,0.5331,0.3848,0.6450,0.5956
XGBRegressor,0.2517,0.3715,0.5017,0.3569,0.6355,0.6461,0.2207,0.3296,0.4698,0.5222,0.7255,0.6241
DecisionTreeRegressor,0.3586,0.4478,0.5989,0.0837,0.5167,0.5410,0.2181,0.3210,0.4670,0.5279,0.7280,0.6550
RandomForestRegressor,0.2425,0.3800,0.4925,0.3803,0.6180,0.6357,0.2260,0.3503,0.4754,0.5107,0.7242,0.6414
GradientBoostingRegressor,0.2701,0.3886,0.5197,0.3098,0.5644,0.6006,0.2110,0.3470,0.4593,0.5433,0.7491,0.6607
AdaBoostRegressor,0.2939,0.4461,0.5421,0.2492,0.5129,0.4935,0.2701,0.4303,0.5197,0.4153,0.7262,0.6971
SVR,0.2799,0.4183,0.5291,0.2847,0.5366,0.5157,0.2361,0.3515,0.4859,0.4888,0.7021,0.6695
LinearRegression,0.4740,0.5067,0.6885,-0.2110,0.4154,0.3817,0.3116,0.4142,0.5582,0.3253,0.6435,0.6217
KNeighborsRegressor,0.2490,0.3784,0.4990,0.3637,0.6267,0.6165,0.3223,0.4223,0.5677,0.3023,0.5630,0.4995
MLPRegressor,1.2626,0.8808,1.1236,-2.2259,0.2255,0.2194,0.5908,0.5844,0.7687,-0.2792,0.5754,0.4876
