,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.14542282935391013,0.31186936682271305,0.38134345327265046,0.6284451598068621,0.7935816503949337,0.7886594293317033,0.23844786218152686,0.3449583716395148,0.4883112349532078,0.48375352504700475,0.6977301378563021,0.6317854030352229
DecisionTreeRegressor,0.2665620982142858,0.4089821428571429,0.5162965215980888,0.31893473505098324,0.6426113673666597,0.6226139064756275,0.21236646428571418,0.3245285714285713,0.4608323602848591,0.5402205011078323,0.7411634928768411,0.665032228437088
RandomForestRegressor,0.1443941374285715,0.30167107142857136,0.3799922860119288,0.6310734642183861,0.7948200850731331,0.7836056163807704,0.21210693162214256,0.3199038571428564,0.46055068301126484,0.5407823967838019,0.7353925953570248,0.6599425795341319
GradientBoostingRegressor,0.15265786510972434,0.31725524914152253,0.3907145570742461,0.6099596677697008,0.7843653196474404,0.77454986587025,0.2183592154569373,0.3216956714849643,0.4672892203517403,0.52724602258196,0.7272703265247233,0.6375289066991794
AdaBoostRegressor,0.1592500517217637,0.3183221872810555,0.39906146358896105,0.5931166531340915,0.7705801845219278,0.7593406010181892,0.20627514501223893,0.32057227000672117,0.45417523601825643,0.5534083824080676,0.7440647298100799,0.668627877757676
XGBRegressor,0.1841019908100674,0.3384471367427281,0.4290710789718498,0.5296200322976738,0.7429062532126267,0.727974310600251,0.21784990689270511,0.3361842041015625,0.46674394146330933,0.5283486902617737,0.7343730635987384,0.6838971923764874
ExtraTreesRegressor,0.14409981430357144,0.304760714285714,0.37960481333035206,0.6318254588134603,0.7950413640026472,0.7862998169673344,0.206769324275714,0.3135477142857138,0.4547189508649425,0.5523384700992305,0.7435304903579122,0.6820760814586475
LinearRegression,0.20492975572976874,0.35183891638966824,0.4526916784410431,0.4764051629356799,0.7192949176840013,0.6974896059113701,0.24019254115966363,0.3533277304155171,0.49009442065755415,0.47997624491478863,0.6949427550215848,0.6452336067361943
KNeighborsRegressor,0.1701770446428571,0.3207821428571428,0.4125252048576633,0.5651982229493245,0.753546298787529,0.7391640949442295,0.23500557200000002,0.3404114285714285,0.48477373278675073,0.49120618222631585,0.7045794300291202,0.6213925530298512
SVR,0.1541527865445112,0.31334514274633474,0.3926229572306123,0.6061401485286622,0.7790641592793794,0.7749937966487178,0.23729409066170204,0.32993577593417306,0.48712841290742015,0.48625147354845655,0.7043696337908485,0.6387896757961455
MLPRegressor,0.4656044584655899,0.5744817533917355,0.6823521513599777,-0.18961782635501434,0.62011670059514,0.615264003594159,0.4180694493267438,0.5390610432851201,0.6465829021299154,0.09486762629825762,0.7161934995354046,0.6888001833091333
