,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1483,0.3097,0.3851,0.6212,0.7885,0.7845,0.2291,0.3432,0.4786,0.5040,0.7118,0.6721
DecisionTreeRegressor,0.3475,0.4550,0.5895,0.1120,0.5706,0.5918,0.2947,0.3910,0.5429,0.3620,0.6369,0.5743
RandomForestRegressor,0.1470,0.3036,0.3834,0.6245,0.7911,0.7834,0.2402,0.3444,0.4901,0.4800,0.6940,0.6478
GradientBoostingRegressor,0.1592,0.3089,0.3989,0.5934,0.7710,0.7674,0.2200,0.3345,0.4691,0.5236,0.7252,0.6836
AdaBoostRegressor,0.1498,0.3048,0.3870,0.6173,0.7857,0.7846,0.2239,0.3375,0.4731,0.5153,0.7192,0.6535
XGBRegressor,0.1860,0.3272,0.4312,0.5248,0.7329,0.7250,0.2427,0.3557,0.4926,0.4746,0.6914,0.6535
ExtraTreesRegressor,0.1382,0.2891,0.3718,0.6469,0.8060,0.8083,0.2205,0.3339,0.4696,0.5226,0.7248,0.6797
LinearRegression,0.2615,0.4070,0.5114,0.3319,0.6752,0.6610,0.3341,0.3995,0.5780,0.2767,0.6180,0.5886
KNeighborsRegressor,0.2063,0.3384,0.4542,0.4728,0.7042,0.7116,0.3057,0.3740,0.5529,0.3382,0.6015,0.5306
SVR,0.1544,0.3025,0.3929,0.6056,0.7807,0.7902,0.2567,0.3750,0.5067,0.4442,0.6774,0.6038
MLPRegressor,0.8891,0.7358,0.9429,-1.2716,0.4315,0.4028,0.6670,0.6122,0.8167,-0.4441,0.4583,0.4040
