,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1548,0.3167,0.3935,0.6044,0.7786,0.7746,0.2333,0.3503,0.4830,0.4949,0.7053,0.6654
DecisionTreeRegressor,0.3773,0.4567,0.6143,0.0359,0.5394,0.5592,0.3268,0.4255,0.5716,0.2926,0.5957,0.5476
RandomForestRegressor,0.1455,0.3015,0.3815,0.6282,0.7934,0.7900,0.2373,0.3432,0.4871,0.4863,0.6986,0.6490
GradientBoostingRegressor,0.1544,0.2996,0.3930,0.6054,0.7793,0.7745,0.2149,0.3359,0.4636,0.5347,0.7325,0.6896
AdaBoostRegressor,0.1474,0.3013,0.3839,0.6235,0.7914,0.7931,0.2289,0.3494,0.4785,0.5044,0.7115,0.6667
XGBRegressor,0.1799,0.3184,0.4241,0.5405,0.7430,0.7377,0.2418,0.3565,0.4918,0.4764,0.6918,0.6504
ExtraTreesRegressor,0.1321,0.2879,0.3635,0.6624,0.8155,0.8102,0.2170,0.3344,0.4658,0.5302,0.7291,0.6690
LinearRegression,0.3038,0.4353,0.5512,0.2237,0.6537,0.6648,0.5839,0.5170,0.7641,-0.2641,0.4396,0.4571
KNeighborsRegressor,0.1817,0.3253,0.4263,0.5357,0.7429,0.7577,0.2990,0.3764,0.5468,0.3527,0.6175,0.5612
SVR,0.1442,0.2970,0.3798,0.6315,0.7967,0.8101,0.2544,0.3666,0.5044,0.4493,0.6767,0.6329
MLPRegressor,0.6906,0.6396,0.8310,-0.7644,0.4924,0.4684,0.9368,0.7466,0.9679,-1.0283,0.1108,0.1052
