ID,Symbol,Compound_Name,Three letter code,MAP_denotion,IUPAC_Name,CXSMILES,,IUPAC_Name,Natural_Analog,Monomer_Type,Polymer_Type,R1,R2,R3,capped_SMILES,,,PubChem_CID,IUPAC_Condensed
1,A,Alanine,,A,(2S)-2-aminopropanoic acid,C[C@H](N[*])C([*])=O |$;;;_R1;;_R2;$|,,(2S)-2-aminopropanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C)C=O,,,5950,H-Ala-OH
2,dA,D-alanine,,A{d},(2R)-2-aminopropanoic acid,C[C@@H](N[*])C([*])=O |$;;;_R1;;_R2;$|,,(2R)-2-aminopropanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@H](C)C=O,,,71080,H-D-Ala-OH
3,meA,N-methyl-L-alanine,,{nnr:E2S},(2S)-2-(methylamino)propanoic acid,C[C@H](N(C)[*])C([*])=O |$;;;;_R1;;_R2;$|,,(2S)-2-(methylamino)propanoic acid,A,Backbone,PEPTIDE,H,OH,-,C[C@@H](C=O)N(C)C,,,5288725,Me-Ala-OH
4,Me_dA,N-methyl-D-alanine,,{nnr:4E3},(2R)-2-(methylamino)propanoic acid,C[C@@H](N(C)[*])C([*])=O |$;;;;_R1;;_R2;$|,,(2R)-2-(methylamino)propanoic acid,A,Backbone,PEPTIDE,H,OH,-,C[C@H](C=O)N(C)C,,,92973,Me-D-Ala-OH
5,Ala(tBu),3-tert-butyl-L-alanine,,{nnr:ZCN},"(2S)-2-amino-4,4-dimethylpentanoic acid",CC(C)(C)C[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,,"(2S)-2-amino-4,4-dimethylpentanoic acid",A,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CC(C)(C)C,,,194032,H-Ala(tBu)-OH
6,Ala(indol-2-yl),3-indol-2-yl-L-alanine,LIA,{nnr:LIA},(2S)-2-amino-3-(1H-indol-2-yl)propanoic acid,[*]N[C@@H](Cc1cc2ccccc2[nH]1)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-(1H-indol-2-yl)propanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1cc2ccccc2[nH]1,,,10262329,H-Ala(indol-2-yl)-OH
7,dAla(indol-2-yl),3-indol-2-yl-D-alanine,DIA,{nnr:DIA},(2R)-2-amino-3-(1H-indol-2-yl)propanoic acid,[*]N[C@H](Cc1cc2ccccc2[nH]1)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,,(2R)-2-amino-3-(1H-indol-2-yl)propanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)Cc1cc2ccccc2[nH]1,,,66766908,H-D-Ala(indol-2-yl)-OH
8,Me_Ala(indol-2-yl),N-methyl-3-indol-2-yl-L-alanine,NIM,{nnr:NIM},(2S)-3-(1H-indol-2-yl)-2-(methylamino)propanoic acid,CN([*])[C@@H](Cc1cc2ccccc2[nH]1)C([*])=O |$;;_R1;;;;;;;;;;;;;_R2;$|,,(2S)-3-(1H-indol-2-yl)-2-(methylamino)propanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN(C)[C@H](C=O)Cc1cc2ccccc2[nH]1,,,155188315,Me-Ala(indol-2-yl)-OH
9,Ala(5-Tet),3-tetrazol-5-yl-L-alanine,TLA,{nnr:TLA},(2S)-2-amino-3-(2H-tetrazol-5-yl)propanoic acid,[*]N[C@@H](Cc1nnn[nH]1)C([*])=O |$_R1;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-(2H-tetrazol-5-yl)propanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1nnn[nH]1,,,3246533,H-Ala(tetrazol-5-yl)-OH
10,Abu,2-aminobutanoic acid,ABU,{nnr:ABU},(2S)-2-aminobutyric acid,CC[C@H](N[*])C([*])=O |$;;;;_R1;;_R2;$|,,(2S)-2-aminobutyric acid,X,Backbone,PEPTIDE,H,OH,-,CC[C@@H](C=O)NC,,,80283,H-Abu-OH
11,dAbu,D-2-aminobutyric acid,D2A,{nnr:D2A},(2R)-2-aminobutanoic acid,CC[C@@H](N[*])C([*])=O |$;;;;_R1;;_R2;$|,,(2R)-2-aminobutanoic acid,X,Backbone,PEPTIDE,H,OH,-,CC[C@H](C=O)NC,,,439691,H-D-Abu-OH
